## 20162706
## Database of cancer genes. Composed by:
## 1. Cancer driver genes from cosmic cancer gene census database (27/06/2016, COSMIC v77)
## access_info: http://cancer.sanger.ac.uk/census/
## 2. Cancer predisposition genes (CPG) from Rahman N. (doi:10.1038/nature12981)
## access_info: Supplementary table 1
## <GENE_SYMBOL>	<ROLE>	<COSMIC>	<CPG>	
ERBB3	oncogene	1	0
CDKN2A(p14)	unkn	1	0
ERC1	unkn	1	0
MAP2K4	unkn	1	0
EGFR	oncogene	1	1
CTNNB1	oncogene	1	0
PLCG1	unkn	1	0
ERG	unkn	1	0
MITF	unkn	1	0
EPS15	unkn	1	0
HERPUD1	unkn	1	0
MYOD1	unkn	1	0
DDX10	unkn	1	0
CDK12	unkn	1	0
GJB2	TSG	0	1
KLF6	unkn	1	0
CLIP1	unkn	1	0
KLF4	oncogene	1	0
ETNK1	unkn	1	0
CXCR4	oncogene	1	0
CNOT3	unkn	1	0
FIP1L1	unkn	1	0
MUC1	unkn	1	0
STAT5B	unkn	1	0
P2RY8	unkn	1	0
FGFR1OP	unkn	1	0
SUFU	TSG	1	1
TRIP11	unkn	1	0
LCP1	unkn	1	0
PHOX2B	TSG	1	1
TCL1A	unkn	1	0
PRCC	unkn	1	0
CALR	oncogene	1	0
MAP3K13	unkn	1	0
GAS7	unkn	1	0
EWSR1	unkn	1	0
RPN1	unkn	1	0
KIAA1549	unkn	1	0
RAF1	unkn	1	0
IKBKB	unkn	1	0
RPL22	unkn	1	0
SLC25A13	TSG	0	1
FGFR4	unkn	1	0
RARA	oncogene	1	0
FGFR2	unkn	1	0
EIF3E	unkn	1	0
HNF1A	unkn	1	0
PWWP2A	unkn	1	0
CDH1	TSG	1	1
FGFR1	unkn	1	0
WT1	TSG	1	1
CDKN2A	TSG	1	1
EXT2	TSG	1	1
EXT1	TSG	1	1
RSPO2	unkn	1	0
LPP	unkn	1	0
KLK2	unkn	1	0
TPR	unkn	1	0
PAFAH1B2	unkn	1	0
ARID1B	TSG	1	0
ARID1A	TSG	1	0
SYK	oncogene	1	0
CYLD	TSG	1	1
ELK4	unkn	1	0
WHSC1	unkn	1	0
APC	TSG	1	1
PTPN11	oncogene	1	1
RECQL4	TSG	1	1
NFATC2	unkn	1	0
FOXP1	oncogene	1	0
FUS	oncogene	1	0
SDHC	TSG	1	1
FUBP1	unkn	1	0
WIF1	unkn	1	0
SMARCE1	TSG	1	1
MNX1	unkn	1	0
SPEN	unkn	1	0
MYCL	unkn	1	0
U2AF1	unkn	1	0
HFE	TSG	0	1
CCNE1	unkn	1	0
MKL1	unkn	1	0
CAMTA1	unkn	1	0
COX6C	unkn	1	0
TCF3	unkn	1	0
ARID2	TSG	1	0
MAF	unkn	1	0
